instrument,month,class,side,boundary,strict,equal,rows
gc,2025-08,trades_large,contaminated,decision_T,3064,0,692042
gc,2025-08,mbo_all,contaminated,decision_T,461530,2865,692042
gc,2025-08,mbo_bid_add,contaminated,decision_T,342764,1427,692042
gc,2025-08,mbo_ask_add,contaminated,decision_T,335400,1426,692042
gc,2025-08,mbo_bid_cancel,contaminated,decision_T,338915,7,692042
gc,2025-08,mbo_ask_cancel,contaminated,decision_T,337334,3,692042
gc,2025-08,mbo_cancel_any,contaminated,decision_T,402064,10,692042
zc,2025-01,trades_all,corrected,decision_T,0,0,338158
zc,2025-01,trades_buy,corrected,decision_T,0,0,338158
zc,2025-01,trades_sell,corrected,decision_T,0,0,338158
zc,2025-01,trades_large,corrected,decision_T,0,0,338158
zc,2025-01,mbo_all,corrected,decision_T,0,0,338158
zc,2025-01,mbo_bid_add,corrected,decision_T,0,0,338158
zc,2025-01,mbo_ask_add,corrected,decision_T,0,0,338158
zc,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,338158
zc,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,338158
zc,2025-01,mbo_cancel_any,corrected,decision_T,0,0,338158
zc,2025-01,trades_all,corrected,prev_row_B,89568,20,338158
zc,2025-01,trades_buy,corrected,prev_row_B,0,0,338158
zc,2025-01,trades_sell,corrected,prev_row_B,89568,20,338158
zc,2025-01,trades_large,corrected,prev_row_B,23633,20,338158
zc,2025-01,mbo_all,corrected,prev_row_B,254314,29,338158
zc,2025-01,mbo_bid_add,corrected,prev_row_B,164958,1,338158
zc,2025-01,mbo_ask_add,corrected,prev_row_B,162753,4,338158
zc,2025-01,mbo_bid_cancel,corrected,prev_row_B,135980,23,338158
zc,2025-01,mbo_ask_cancel,corrected,prev_row_B,129333,22,338158
zc,2025-01,mbo_cancel_any,corrected,prev_row_B,179856,24,338158
zc,2025-01,trades_all,contaminated,decision_T,89568,20,338159
zc,2025-01,trades_buy,contaminated,decision_T,0,0,338159
zc,2025-01,trades_sell,contaminated,decision_T,89568,20,338159
zc,2025-01,trades_large,contaminated,decision_T,23633,20,338159
zc,2025-01,mbo_all,contaminated,decision_T,254315,29,338159
zc,2025-01,mbo_bid_add,contaminated,decision_T,164959,1,338159
zc,2025-01,mbo_ask_add,contaminated,decision_T,162754,4,338159
zc,2025-01,mbo_bid_cancel,contaminated,decision_T,135981,23,338159
zc,2025-01,mbo_ask_cancel,contaminated,decision_T,129334,22,338159
zc,2025-01,mbo_cancel_any,contaminated,decision_T,179857,24,338159
zc,2025-08,trades_all,corrected,decision_T,23755,3,554303
zc,2025-08,trades_buy,corrected,decision_T,0,0,554303
zc,2025-08,trades_sell,corrected,decision_T,23755,3,554303
zc,2025-08,trades_large,corrected,decision_T,5567,0,554303
zc,2025-08,mbo_all,corrected,decision_T,90868,2857,554303
zc,2025-08,mbo_bid_add,corrected,decision_T,46280,1040,554303
zc,2025-08,mbo_ask_add,corrected,decision_T,47496,1807,554303
zc,2025-08,mbo_bid_cancel,corrected,decision_T,34610,6,554303
zc,2025-08,mbo_ask_cancel,corrected,decision_T,34311,4,554303
zc,2025-08,mbo_cancel_any,corrected,decision_T,53074,9,554303
zc,2025-08,trades_all,corrected,prev_row_B,92136,3,554303
zc,2025-08,trades_buy,corrected,prev_row_B,0,0,554303
zc,2025-08,trades_sell,corrected,prev_row_B,92136,3,554303
zc,2025-08,trades_large,corrected,prev_row_B,20546,0,554303
zc,2025-08,mbo_all,corrected,prev_row_B,314170,3209,554303
zc,2025-08,mbo_bid_add,corrected,prev_row_B,175168,1187,554303
zc,2025-08,mbo_ask_add,corrected,prev_row_B,172165,2011,554303
zc,2025-08,mbo_bid_cancel,corrected,prev_row_B,131552,6,554303
zc,2025-08,mbo_ask_cancel,corrected,prev_row_B,129614,4,554303
zc,2025-08,mbo_cancel_any,corrected,prev_row_B,196174,9,554303
zc,2025-08,trades_all,contaminated,decision_T,92136,3,554304
zc,2025-08,trades_buy,contaminated,decision_T,0,0,554304
zc,2025-08,trades_sell,contaminated,decision_T,92136,3,554304
zc,2025-08,trades_large,contaminated,decision_T,20546,0,554304
zc,2025-08,mbo_all,contaminated,decision_T,314170,3210,554304
zc,2025-08,mbo_bid_add,contaminated,decision_T,175168,1188,554304
zc,2025-08,mbo_ask_add,contaminated,decision_T,172165,2011,554304
zc,2025-08,mbo_bid_cancel,contaminated,decision_T,131552,6,554304
zc,2025-08,mbo_ask_cancel,contaminated,decision_T,129614,4,554304
zc,2025-08,mbo_cancel_any,contaminated,decision_T,196174,9,554304
zs,2025-01,trades_all,corrected,decision_T,0,0,337844
zs,2025-01,trades_buy,corrected,decision_T,0,0,337844
zs,2025-01,trades_sell,corrected,decision_T,0,0,337844
zs,2025-01,trades_large,corrected,decision_T,0,0,337844
zs,2025-01,mbo_all,corrected,decision_T,0,0,337844
zs,2025-01,mbo_bid_add,corrected,decision_T,0,0,337844
zs,2025-01,mbo_ask_add,corrected,decision_T,0,0,337844
zs,2025-01,mbo_bid_cancel,corrected,decision_T,0,0,337844
zs,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337844
zs,2025-01,mbo_cancel_any,corrected,decision_T,0,0,337844
zs,2025-01,trades_all,corrected,prev_row_B,78300,16,337844
zs,2025-01,trades_buy,corrected,prev_row_B,0,0,337844
zs,2025-01,trades_sell,corrected,prev_row_B,78300,16,337844
zs,2025-01,trades_large,corrected,prev_row_B,17552,16,337844
zs,2025-01,mbo_all,corrected,prev_row_B,210254,29,337844
zs,2025-01,mbo_bid_add,corrected,prev_row_B,150676,3,337844
zs,2025-01,mbo_ask_add,corrected,prev_row_B,144800,5,337844
zs,2025-01,mbo_bid_cancel,corrected,prev_row_B,137505,19,337844
zs,2025-01,mbo_ask_cancel,corrected,prev_row_B,131636,18,337844
zs,2025-01,mbo_cancel_any,corrected,prev_row_B,169487,20,337844
zs,2025-01,trades_all,contaminated,decision_T,78300,16,337845
zs,2025-01,trades_buy,contaminated,decision_T,0,0,337845
zs,2025-01,trades_sell,contaminated,decision_T,78300,16,337845
zs,2025-01,trades_large,contaminated,decision_T,17552,16,337845
zs,2025-01,mbo_all,contaminated,decision_T,210254,29,337845
