side,instrument,model,horizon,file,n_rows,n_nan_pred,n_nan_label,n_used,recomputed_auc,n_zero_tick,n_nan_fwd,n_label_pos,n_label_eq_signpos
pre,ZS,XGBoost,60s,zs_XGBoost_60s_predictions.parquet,1256335,0,0,1256335,0.6511356785,0,0,627180,1256335
post,CL,LightGBM,10s,cl_LightGBM_10s_predictions.parquet,1990321,0,0,1990321,0.6388106346,0,0,995440,1990321
post,CL,LightGBM,30s,cl_LightGBM_30s_predictions.parquet,2572423,0,0,2572423,0.5916199170,0,0,1289817,2572423
post,CL,LightGBM,5s,cl_LightGBM_5s_predictions.parquet,1930724,0,0,1930724,0.8135799776,0,0,962781,1930724
post,CL,LightGBM,60s,cl_LightGBM_60s_predictions.parquet,2889289,0,0,2889289,0.5872514424,0,0,1450536,2889289
post,CL,XGBoost,10s,cl_XGBoost_10s_predictions.parquet,1990321,0,0,1990321,0.6386287007,0,0,995440,1990321
post,CL,XGBoost,30s,cl_XGBoost_30s_predictions.parquet,2572423,0,0,2572423,0.5921317683,0,0,1289817,2572423
post,CL,XGBoost,5s,cl_XGBoost_5s_predictions.parquet,1930724,0,0,1930724,0.8134994126,0,0,962781,1930724
post,CL,XGBoost,60s,cl_XGBoost_60s_predictions.parquet,2889289,0,0,2889289,0.5873346262,0,0,1450536,2889289
post,ES,LightGBM,10s,es_LightGBM_10s_predictions.parquet,2138729,0,0,2138729,0.5665629158,0,0,1071918,2138729
post,ES,LightGBM,30s,es_LightGBM_30s_predictions.parquet,2424880,0,0,2424880,0.5351098448,0,0,1221228,2424880
post,ES,LightGBM,5s,es_LightGBM_5s_predictions.parquet,1884794,0,0,1884794,0.5938958404,0,0,942288,1884794
post,ES,LightGBM,60s,es_LightGBM_60s_predictions.parquet,2548702,0,0,2548702,0.5192527621,0,0,1291479,2548702
post,ES,XGBoost,10s,es_XGBoost_10s_predictions.parquet,2138729,0,0,2138729,0.5669340962,0,0,1071918,2138729
post,ES,XGBoost,30s,es_XGBoost_30s_predictions.parquet,2424880,0,0,2424880,0.5363001015,0,0,1221228,2424880
post,ES,XGBoost,5s,es_XGBoost_5s_predictions.parquet,1884794,0,0,1884794,0.5941356628,0,0,942288,1884794
post,ES,XGBoost,60s,es_XGBoost_60s_predictions.parquet,2548702,0,0,2548702,0.5187165294,0,0,1291479,2548702
post,GC,LightGBM,10s,gc_LightGBM_10s_predictions.parquet,3011667,0,0,3011667,0.5457199959,0,0,1525356,3011667
post,GC,LightGBM,30s,gc_LightGBM_30s_predictions.parquet,3213561,0,0,3213561,0.5416895783,0,0,1630704,3213561
post,GC,LightGBM,5s,gc_LightGBM_5s_predictions.parquet,3145463,0,0,3145463,0.6958365008,0,0,1585767,3145463
post,GC,LightGBM,60s,gc_LightGBM_60s_predictions.parquet,3329052,0,0,3329052,0.5572736442,0,0,1692566,3329052
post,GC,XGBoost,10s,gc_XGBoost_10s_predictions.parquet,3011667,0,0,3011667,0.5469444452,0,0,1525356,3011667
post,GC,XGBoost,30s,gc_XGBoost_30s_predictions.parquet,3213561,0,0,3213561,0.5410874522,0,0,1630704,3213561
post,GC,XGBoost,5s,gc_XGBoost_5s_predictions.parquet,3145463,0,0,3145463,0.6961170343,0,0,1585767,3145463
post,GC,XGBoost,60s,gc_XGBoost_60s_predictions.parquet,3329052,0,0,3329052,0.5576384900,0,0,1692566,3329052
post,HE,LightGBM,10s,he_LightGBM_10s_predictions.parquet,780550,0,0,780550,0.5986122137,0,0,387522,780550
post,HE,LightGBM,30s,he_LightGBM_30s_predictions.parquet,1148033,0,0,1148033,0.5495575491,0,0,569810,1148033
post,HE,LightGBM,5s,he_LightGBM_5s_predictions.parquet,542793,0,0,542793,0.6346167807,0,0,269189,542793
post,HE,LightGBM,60s,he_LightGBM_60s_predictions.parquet,1314197,0,0,1314197,0.5311410747,0,0,652055,1314197
post,HE,XGBoost,10s,he_XGBoost_10s_predictions.parquet,780550,0,0,780550,0.5993576279,0,0,387522,780550
post,HE,XGBoost,30s,he_XGBoost_30s_predictions.parquet,1148033,0,0,1148033,0.5501159767,0,0,569810,1148033
post,HE,XGBoost,5s,he_XGBoost_5s_predictions.parquet,542793,0,0,542793,0.6350552932,0,0,269189,542793
post,HE,XGBoost,60s,he_XGBoost_60s_predictions.parquet,1314197,0,0,1314197,0.5289705333,0,0,652055,1314197
post,LE,LightGBM,10s,le_LightGBM_10s_predictions.parquet,1220963,0,0,1220963,0.5552305412,0,0,614410,1220963
post,LE,LightGBM,30s,le_LightGBM_30s_predictions.parquet,1423152,0,0,1423152,0.5262963673,0,0,721563,1423152
post,LE,LightGBM,5s,le_LightGBM_5s_predictions.parquet,994518,0,0,994518,0.5799486231,0,0,498111,994518
post,LE,LightGBM,60s,le_LightGBM_60s_predictions.parquet,1478639,0,0,1478639,0.5178839296,0,0,751357,1478639
post,LE,XGBoost,10s,le_XGBoost_10s_predictions.parquet,1220963,0,0,1220963,0.5550538647,0,0,614410,1220963
post,LE,XGBoost,30s,le_XGBoost_30s_predictions.parquet,1423152,0,0,1423152,0.5265513097,0,0,721563,1423152
post,LE,XGBoost,5s,le_XGBoost_5s_predictions.parquet,994518,0,0,994518,0.5802335674,0,0,498111,994518
post,LE,XGBoost,60s,le_XGBoost_60s_predictions.parquet,1478639,0,0,1478639,0.5170109453,0,0,751357,1478639
post,NQ,LightGBM,10s,nq_LightGBM_10s_predictions.parquet,2709685,0,0,2709685,0.5154067393,0,0,1356764,2709685
post,NQ,LightGBM,30s,nq_LightGBM_30s_predictions.parquet,2761782,0,0,2761782,0.5098260912,0,0,1391293,2761782
post,NQ,LightGBM,5s,nq_LightGBM_5s_predictions.parquet,2650986,0,0,2650986,0.5191329140,0,0,1323269,2650986
post,NQ,LightGBM,60s,nq_LightGBM_60s_predictions.parquet,2783959,0,0,2783959,0.5047959269,0,0,1408879,2783959
post,NQ,XGBoost,10s,nq_XGBoost_10s_predictions.parquet,2709685,0,0,2709685,0.5156110133,0,0,1356764,2709685
post,NQ,XGBoost,30s,nq_XGBoost_30s_predictions.parquet,2761782,0,0,2761782,0.5115772363,0,0,1391293,2761782
post,NQ,XGBoost,5s,nq_XGBoost_5s_predictions.parquet,2650986,0,0,2650986,0.5192974576,0,0,1323269,2650986
