side,instrument,model,horizon,n_rows,n_used,n_zero_tick,n_label_pos,n_label_eq_signpos,recomputed_auc,test_auc,n_test,delta,abs_delta,flag_gt_5e-5,rows_match_n_test,_merge
post,CL,LightGBM,60s,2889289,2889289,0,1450536,2889289,0.5872514424,,,,,False,False,left_only
post,CL,XGBoost,5s,1930724,1930724,0,962781,1930724,0.8134994126,,,,,False,False,left_only
post,CL,XGBoost,10s,1990321,1990321,0,995440,1990321,0.6386287007,,,,,False,False,left_only
post,CL,XGBoost,30s,2572423,2572423,0,1289817,2572423,0.5921317683,,,,,False,False,left_only
post,CL,XGBoost,60s,2889289,2889289,0,1450536,2889289,0.5873346262,,,,,False,False,left_only
post,ES,LightGBM,5s,1884794,1884794,0,942288,1884794,0.5938958404,,,,,False,False,left_only
post,ES,LightGBM,10s,2138729,2138729,0,1071918,2138729,0.5665629158,,,,,False,False,left_only
post,ES,LightGBM,30s,2424880,2424880,0,1221228,2424880,0.5351098448,,,,,False,False,left_only
post,ES,LightGBM,60s,2548702,2548702,0,1291479,2548702,0.5192527621,,,,,False,False,left_only
post,ES,XGBoost,5s,1884794,1884794,0,942288,1884794,0.5941356628,,,,,False,False,left_only
post,ES,XGBoost,10s,2138729,2138729,0,1071918,2138729,0.5669340962,,,,,False,False,left_only
post,ES,XGBoost,30s,2424880,2424880,0,1221228,2424880,0.5363001015,,,,,False,False,left_only
post,ES,XGBoost,60s,2548702,2548702,0,1291479,2548702,0.5187165294,,,,,False,False,left_only
post,GC,LightGBM,5s,3145463,3145463,0,1585767,3145463,0.6958365008,0.6958000000,3145463.0000000000,0.0000365008,0.0000365008,False,True,both
post,GC,LightGBM,10s,3011667,3011667,0,1525356,3011667,0.5457199959,0.5457000000,3011667.0000000000,0.0000199959,0.0000199959,False,True,both
post,GC,LightGBM,30s,3213561,3213561,0,1630704,3213561,0.5416895783,0.5417000000,3213561.0000000000,-0.0000104217,0.0000104217,False,True,both
post,GC,LightGBM,60s,3329052,3329052,0,1692566,3329052,0.5572736442,0.5573000000,3329052.0000000000,-0.0000263558,0.0000263558,False,True,both
post,GC,XGBoost,5s,3145463,3145463,0,1585767,3145463,0.6961170343,0.6961000000,3145463.0000000000,0.0000170343,0.0000170343,False,True,both
post,GC,XGBoost,10s,3011667,3011667,0,1525356,3011667,0.5469444452,0.5469000000,3011667.0000000000,0.0000444452,0.0000444452,False,True,both
post,GC,XGBoost,30s,3213561,3213561,0,1630704,3213561,0.5410874522,0.5411000000,3213561.0000000000,-0.0000125478,0.0000125478,False,True,both
post,GC,XGBoost,60s,3329052,3329052,0,1692566,3329052,0.5576384900,0.5576000000,3329052.0000000000,0.0000384900,0.0000384900,False,True,both
post,HE,LightGBM,5s,542793,542793,0,269189,542793,0.6346167807,,,,,False,False,left_only
post,HE,LightGBM,10s,780550,780550,0,387522,780550,0.5986122137,,,,,False,False,left_only
post,HE,LightGBM,30s,1148033,1148033,0,569810,1148033,0.5495575491,,,,,False,False,left_only
post,HE,LightGBM,60s,1314197,1314197,0,652055,1314197,0.5311410747,,,,,False,False,left_only
post,HE,XGBoost,5s,542793,542793,0,269189,542793,0.6350552932,,,,,False,False,left_only
post,HE,XGBoost,10s,780550,780550,0,387522,780550,0.5993576279,,,,,False,False,left_only
post,HE,XGBoost,30s,1148033,1148033,0,569810,1148033,0.5501159767,,,,,False,False,left_only
post,HE,XGBoost,60s,1314197,1314197,0,652055,1314197,0.5289705333,,,,,False,False,left_only
post,LE,LightGBM,5s,994518,994518,0,498111,994518,0.5799486231,,,,,False,False,left_only
post,LE,LightGBM,10s,1220963,1220963,0,614410,1220963,0.5552305412,,,,,False,False,left_only
post,LE,LightGBM,30s,1423152,1423152,0,721563,1423152,0.5262963673,,,,,False,False,left_only
post,LE,LightGBM,60s,1478639,1478639,0,751357,1478639,0.5178839296,,,,,False,False,left_only
post,LE,XGBoost,5s,994518,994518,0,498111,994518,0.5802335674,,,,,False,False,left_only
post,LE,XGBoost,10s,1220963,1220963,0,614410,1220963,0.5550538647,,,,,False,False,left_only
post,LE,XGBoost,30s,1423152,1423152,0,721563,1423152,0.5265513097,,,,,False,False,left_only
post,LE,XGBoost,60s,1478639,1478639,0,751357,1478639,0.5170109453,,,,,False,False,left_only
post,NQ,LightGBM,5s,2650986,2650986,0,1323269,2650986,0.5191329140,0.5191000000,2650986.0000000000,0.0000329140,0.0000329140,False,True,both
post,NQ,LightGBM,10s,2709685,2709685,0,1356764,2709685,0.5154067393,0.5154000000,2709685.0000000000,0.0000067393,0.0000067393,False,True,both
post,NQ,LightGBM,30s,2761782,2761782,0,1391293,2761782,0.5098260912,0.5098000000,2761782.0000000000,0.0000260912,0.0000260912,False,True,both
post,NQ,LightGBM,60s,2783959,2783959,0,1408879,2783959,0.5047959269,0.5048000000,2783959.0000000000,-0.0000040731,0.0000040731,False,True,both
post,NQ,XGBoost,5s,2650986,2650986,0,1323269,2650986,0.5192974576,0.5193000000,2650986.0000000000,-0.0000025424,0.0000025424,False,True,both
post,NQ,XGBoost,10s,2709685,2709685,0,1356764,2709685,0.5156110133,0.5156000000,2709685.0000000000,0.0000110133,0.0000110133,False,True,both
post,NQ,XGBoost,30s,2761782,2761782,0,1391293,2761782,0.5115772363,0.5116000000,2761782.0000000000,-0.0000227637,0.0000227637,False,True,both
post,NQ,XGBoost,60s,2783959,2783959,0,1408879,2783959,0.5051040958,0.5051000000,2783959.0000000000,0.0000040958,0.0000040958,False,True,both
post,ZC,LightGBM,5s,1047430,1047430,0,522896,1047430,0.9315357123,0.9315000000,1047430.0000000000,0.0000357123,0.0000357123,False,True,both
