month,date,in_lattice,lattice_rows,lattice_min,lattice_max,v4_day_file_present,v4_events_in_window,v4_mbo_all_in_window,v4_min,v4_max,v3_events_in_window,v3_mbo_all_in_window,v3_min,v3_max
2025-09,2025-08-31,true,171,2025-08-31 21:15:55.669014397,2025-08-31 21:59:59.320142511,false,,,,,140,140,2025-08-31 21:15:55.669014397,2025-08-31 21:59:59.999738517
2025-09,2025-09-01,true,13586,2025-09-01 14:00:00.050671613,2025-09-01 21:59:59.847592899,false,,,,,274740,213839,2025-09-01 14:00:00.005278253,2025-09-01 21:59:24.195255093
2025-09,2025-09-02,true,25680,2025-09-02 14:00:00.046264687,2025-09-02 21:59:59.431040779,true,10612207,8586672,2025-09-02 14:00:00.000004667,2025-09-02 21:59:59.999708113,10592833,8585381,2025-09-02 14:00:00.000004667,2025-09-02 21:59:57.139699747
2025-09,2025-09-03,true,25514,2025-09-03 14:00:00.033601021,2025-09-03 21:59:59.492151335,true,9227663,7452053,2025-09-03 14:00:00.000278299,2025-09-03 21:59:59.979833523,9210072,7450931,2025-09-03 14:00:00.000278299,2025-09-03 21:59:53.801049615
2025-09,2025-09-04,true,25571,2025-09-04 14:00:00.013532837,2025-09-04 21:59:59.406021489,true,6620257,5275793,2025-09-04 14:00:00.001946037,2025-09-04 21:59:59.995050081,6604927,5274555,2025-09-04 14:00:00.001946037,2025-09-04 21:59:59.450345637
2025-09,2025-09-05,true,25201,2025-09-05 14:00:00.024394053,2025-09-05 20:59:59.908580533,true,13316662,10588829,2025-09-05 14:00:00.000084703,2025-09-05 21:00:00.068012987,13293050,10587703,2025-09-05 14:00:00.000084703,2025-09-05 20:59:59.908580533
2025-09,2025-09-07,true,378,2025-09-07 21:00:00.354576291,2025-09-07 21:59:59.272444297,false,,,,,227,227,2025-09-07 21:00:00.354576291,2025-09-07 21:59:58.771970325
2025-09,2025-09-08,true,25783,2025-09-08 14:00:00.004088419,2025-09-08 21:59:59.644852851,true,7094707,5748209,2025-09-08 14:00:00.000072337,2025-09-08 21:59:59.979714183,7084174,5747138,2025-09-08 14:00:00.000072337,2025-09-08 21:59:57.978829199
2025-09,2025-09-09,true,25412,2025-09-09 14:00:00.002118841,2025-09-09 21:59:59.574111323,true,7869382,6385703,2025-09-09 14:00:00.000133867,2025-09-09 21:59:59.981455131,7856101,6384693,2025-09-09 14:00:00.000133867,2025-09-09 21:59:58.210987033
2025-09,2025-09-10,true,25292,2025-09-10 14:00:00.043770237,2025-09-10 21:59:59.689309955,true,8610401,7060640,2025-09-10 14:00:00.001950875,2025-09-10 21:59:59.978534771,8598580,7059939,2025-09-10 14:00:00.001950875,2025-09-10 21:59:41.041080631
2025-09,2025-09-11,true,25395,2025-09-11 14:00:00.002235947,2025-09-11 21:59:59.394420483,true,6618389,5251923,2025-09-11 14:00:00.000053263,2025-09-11 21:59:59.995017437,6608726,5251064,2025-09-11 14:00:00.000053263,2025-09-11 21:59:58.414257041
2025-09,2025-09-12,true,25201,2025-09-12 14:00:00.003310267,2025-09-12 20:59:59.908355701,true,6115736,4902972,2025-09-12 14:00:00.004159957,2025-09-12 21:00:00.068008815,6107002,4902097,2025-09-12 14:00:00.004159957,2025-09-12 20:59:59.908355701
2025-09,2025-09-14,true,230,2025-09-14 21:15:03.167712971,2025-09-14 21:59:59.652692407,false,,,,,126,126,2025-09-14 21:15:03.167712971,2025-09-14 21:59:59.999806767
2025-09,2025-09-15,true,25420,2025-09-15 14:00:00.182241077,2025-09-15 21:59:59.670111139,true,5047028,3737737,2025-09-15 14:00:00.001709683,2025-09-15 21:59:59.995033139,5040211,3737221,2025-09-15 14:00:00.001709683,2025-09-15 21:59:25.006956885
2025-09,2025-09-16,true,25337,2025-09-16 14:00:00.039527533,2025-09-16 21:59:59.336010757,true,3973303,2457748,2025-09-16 14:00:00.001747343,2025-09-16 21:59:59.999707917,3968985,2457309,2025-09-16 14:00:00.001747343,2025-09-16 21:59:35.108863387
2025-09,2025-09-17,true,25346,2025-09-17 14:00:00.033858145,2025-09-17 21:59:59.828203567,true,8509411,6556390,2025-09-17 14:00:00.002935587,2025-09-17 21:59:59.031448045,8500045,6555992,2025-09-17 14:00:00.002935587,2025-09-17 21:59:49.847711879
2025-09,2025-09-18,true,25619,2025-09-18 14:00:00.002898035,2025-09-18 21:59:59.110335255,true,7364731,5792162,2025-09-18 14:00:00.000282385,2025-09-18 21:59:59.999707625,7352824,5791151,2025-09-18 14:00:00.000282385,2025-09-18 21:59:59.734643053
2025-09,2025-09-19,true,25201,2025-09-19 14:00:00.001266697,2025-09-19 20:59:59.975161001,true,6714907,5451605,2025-09-19 14:00:00.000107963,2025-09-19 21:00:00.068028139,6703735,5450398,2025-09-19 14:00:00.000107963,2025-09-19 20:59:59.975161001
2025-09,2025-09-21,true,598,2025-09-21 21:01:13.696226729,2025-09-21 21:59:59.322268401,false,,,,,436,436,2025-09-21 21:01:13.696226729,2025-09-21 21:59:57.714268605
2025-09,2025-09-22,true,25684,2025-09-22 14:00:00.043255461,2025-09-22 21:59:59.669672993,true,7751331,6366021,2025-09-22 14:00:00.002053247,2025-09-22 21:59:59.960869033,7742903,6364767,2025-09-22 14:00:00.002053247,2025-09-22 21:59:01.675985009
