side,instrument,month,rows,trade_classes_scored,max_strict_trade_only,max_equal_trade_only,trade_only_status,mbo_classes_scored,max_strict_mbo_only,max_equal_mbo_only,max_strict_declared10,max_equal_declared10,declared10_status,declared10_classes_scored
contaminated,he,2025-11,304487,4,35084,0,STRICT_POSITIVE,6,108223,1,108223,1,STRICT_POSITIVE,10
contaminated,he,2025-12,353683,4,36867,0,STRICT_POSITIVE,6,127766,1,127766,1,STRICT_POSITIVE,10
contaminated,le,2025-01,337494,4,44691,0,STRICT_POSITIVE,6,140720,4,140720,4,STRICT_POSITIVE,10
contaminated,le,2025-08,308711,4,43707,1,STRICT_POSITIVE,6,119867,21,119867,21,STRICT_POSITIVE,10
contaminated,le,2025-09,308710,4,42140,1,STRICT_POSITIVE,6,126122,21,126122,21,STRICT_POSITIVE,10
contaminated,le,2025-10,338113,4,47045,1,STRICT_POSITIVE,6,125589,23,125589,23,STRICT_POSITIVE,10
contaminated,le,2025-11,304492,4,26854,0,STRICT_POSITIVE,6,77483,1,77483,1,STRICT_POSITIVE,10
contaminated,le,2025-12,353690,4,31871,0,STRICT_POSITIVE,6,90032,1,90032,1,STRICT_POSITIVE,10
contaminated,nq,2025-01,598228,4,543341,0,STRICT_POSITIVE,0,,,543341,0,STRICT_POSITIVE,4
contaminated,nq,2025-08,540531,4,470095,0,STRICT_POSITIVE,0,,,470095,0,STRICT_POSITIVE,4
contaminated,nq,2025-09,549431,4,455826,0,STRICT_POSITIVE,0,,,455826,0,STRICT_POSITIVE,4
contaminated,nq,2025-10,590786,4,524165,0,STRICT_POSITIVE,0,,,524165,0,STRICT_POSITIVE,4
contaminated,nq,2025-11,550464,4,494380,0,STRICT_POSITIVE,0,,,494380,0,STRICT_POSITIVE,4
contaminated,nq,2025-12,620108,4,525629,0,STRICT_POSITIVE,0,,,525629,0,STRICT_POSITIVE,4
contaminated,zc,2025-01,338159,4,89568,20,STRICT_POSITIVE,6,254315,29,254315,29,STRICT_POSITIVE,10
contaminated,zc,2025-08,554304,4,92136,3,STRICT_POSITIVE,6,314170,3210,314170,3210,STRICT_POSITIVE,10
contaminated,zc,2025-09,580945,4,109981,1,STRICT_POSITIVE,6,344076,2771,344076,2771,STRICT_POSITIVE,10
contaminated,zc,2025-10,634446,4,117267,2,STRICT_POSITIVE,6,342560,3327,342560,3327,STRICT_POSITIVE,10
contaminated,zc,2025-11,304506,4,57662,14,STRICT_POSITIVE,6,163822,20,163822,20,STRICT_POSITIVE,10
contaminated,zc,2025-12,353104,4,76969,20,STRICT_POSITIVE,6,222940,23,222940,23,STRICT_POSITIVE,10
contaminated,zs,2025-01,337845,4,78300,16,STRICT_POSITIVE,6,210254,29,210254,29,STRICT_POSITIVE,10
contaminated,zs,2025-08,465382,4,88011,3,STRICT_POSITIVE,6,296502,2725,296502,2725,STRICT_POSITIVE,10
contaminated,zs,2025-09,429466,4,72942,0,STRICT_POSITIVE,6,268482,2462,268482,2462,STRICT_POSITIVE,10
contaminated,zs,2025-10,508911,4,91965,0,STRICT_POSITIVE,6,296861,2949,296861,2949,STRICT_POSITIVE,10
contaminated,zs,2025-11,304506,4,62578,14,STRICT_POSITIVE,6,185931,20,185931,20,STRICT_POSITIVE,10
contaminated,zs,2025-12,353104,4,60796,19,STRICT_POSITIVE,6,222557,23,222557,23,STRICT_POSITIVE,10
